chr1	497300	498398	2	2	1	3	0	58
chr1	632679	653840	2	2	1	6	0	15
chr1	732208	732980	2	2	1	5	0	62
chr1	820890	822879	2	2	1	2	0	26
chr1	999612	999691	2	2	1	1	0	3
chr1	1041585	1042125	1	3	1	2	0	6
chr1	1042163	1042690	1	1	1	2	0	58
chr1	1051526	1051549	1	1	1	6	0	3
chr1	1055210	1055803	2	4	1	5	0	4
chr1	1055658	1055803	2	4	1	16	0	5
chr1	1217283	1217314	0	0	1	1	0	31
chr1	1257131	1273665	2	2	1	1	0	4
chr1	1280667	1281201	1	1	1	6	0	43
chr1	1280667	1281225	1	1	1	1	0	6
chr1	1301116	1301304	1	3	1	2	0	12
chr1	1311845	1312284	1	1	1	1	0	3
chr1	1315619	1319301	2	2	1	1	0	47
chr1	1319434	1320455	2	2	1	35	0	71
chr1	1336065	1336193	1	3	1	7	0	4
chr1	1336516	1337976	2	2	1	355	0	74
chr1	1340174	1340246	2	2	1	6	0	49
chr1	1341806	1341915	2	2	1	1	0	71
chr1	1353078	1353111	1	1	1	7	0	3
chr1	1356332	1356378	1	3	1	2	0	5
chr1	1356705	1359862	2	2	1	5	0	25
chr1	1374156	1374361	2	2	1	4	0	3
chr1	1388492	1390229	2	2	1	1	0	4
chr1	1390273	1390828	2	2	1	8	0	4
chr1	1395515	1398232	2	2	1	1076	0	74
chr1	1395538	1398232	2	2	1	28	0	63
chr1	1485839	1486109	1	1	1	66	0	60
chr1	1518991	1520140	1	1	1	63	0	71
chr1	1530532	1530850	0	0	1	1	0	33
chr1	1637120	1704222	2	2	1	9	0	7
chr1	1637198	1704339	2	2	1	109	0	7
chr1	1669737	1670097	2	2	1	220	0	55
chr1	1671630	1672393	2	2	1	5	0	71
chr1	1675591	1676063	2	2	1	181	0	75
chr1	1735739	1738320	2	2	1	3	0	74
chr1	2194134	2195037	2	2	1	9	0	43
chr1	2393356	2395783	1	1	1	76	0	75
chr1	2403387	2403446	1	1	1	1	0	3
chr1	2519325	2519800	2	2	1	86	0	73
chr1	2591090	2591556	2	4	1	1	0	3
chr1	3493328	3493348	1	1	1	2	0	21
chr1	3493798	3494370	2	2	1	2	0	27
chr1	3496019	3498370	2	2	1	2	0	42
chr1	3497120	3499137	2	2	1	1	0	6
chr1	3501309	3501681	2	2	1	5	0	63
chr1	3501386	3501795	2	2	1	4	0	63
chr1	3506185	3506796	1	3	1	48	0	19
chr1	3509993	3514549	2	2	1	1	0	6
chr1	3739732	3739907	2	2	1	1	0	26
chr1	3784112	3785086	2	2	1	320	0	74
chr1	3835093	3836494	2	2	1	110	0	74
chr1	3858845	3862375	1	1	1	2	0	33
chr1	6204983	6205205	2	2	1	1	0	40
chr1	6223222	6293003	2	2	1	1	0	28
chr1	6255123	6260824	2	2	1	2	0	64
chr1	6318579	6327298	2	2	1	152	0	73
chr1	6532080	6532462	2	2	1	60	0	73
chr1	6594234	6595484	2	2	1	1	0	3
chr1	6628692	6630287	1	1	1	192	0	67
chr1	6656099	6667708	2	2	1	1	0	45
chr1	6871841	6887653	1	1	1	193	0	74
chr1	7827816	7829836	1	1	1	74	0	75
chr1	7985092	7985139	1	1	1	5	0	4
chr1	8355121	8355418	2	2	1	135	0	71
chr1	8358091	8358195	2	2	1	2	0	67
chr1	8361009	8361092	1	3	1	3	0	4
chr1	8865483	8866278	2	2	1	20080	0	75
chr1	9724406	9724803	1	1	1	1	0	25
chr1	9730679	9731205	2	2	1	3	0	3
chr1	9735134	9735466	2	2	1	2	0	49
chr1	10151562	10158355	1	1	1	308	0	70
chr1	10295767	10296581	1	1	1	141	0	73
chr1	10375374	10399628	1	1	1	1	0	35
chr1	10417510	10418825	1	1	1	1166	0	75
chr1	10475081	10475652	1	1	1	1	0	30
chr1	10576900	10599237	1	1	1	4	0	57
chr1	11055408	11055780	2	2	1	2	0	30
chr1	11056095	11056603	2	2	1	1520	0	75
chr1	11087911	11088122	2	2	1	448	0	74
chr1	11111754	11112851	2	2	1	1	0	45
chr1	11654953	11655939	1	1	1	6	0	31
chr1	11830271	11831702	1	1	1	2	0	36
chr1	11834396	11834483	1	1	1	61	0	64
chr1	11917061	11922635	2	2	1	1	0	11
chr1	11999096	12001400	1	1	1	363	0	74
chr1	12293705	12299201	1	1	1	35	0	73
chr1	12401705	12403824	1	1	1	177	0	75
chr1	12497632	12506852	1	1	1	163	0	75
chr1	12617304	12617740	2	2	1	3	0	26
chr1	15329542	15341735	1	1	1	3	0	17
chr1	15716344	15716706	1	1	1	596	0	75
